date,[btc] TBTC,[btc] WBTC,[btc] renBTC,[btc] SBTC,[stablecoin] DAI,[stablecoin] USDC,[stablecoin] USDT,[veth2] WETH,[veth2] vETH2,[aleth] WETH,[aleth] alETH,[aleth] sETH,[d4] alUSD,[d4] FEI,[d4] FRAX,[d4] LUSD,[stablecoin_v2] DAI,[stablecoin_v2] USDC,[stablecoin_v2] USDT
2021-10-09T00:00:00+00:00,0,0,4634.5778516713,417982.6855652899,0,0,0,0,0,45887.96739775041,731597.9252328054,29645.858752970555,72013.0597918588038399,313444.2361471790761542,3744.8799277007764663,755373.0752411363592566,97267.8334776645146296,368478.3803130000000000,67528.34816900000000000000
2021-10-08T00:00:00+00:00,0,1056.0486369235,0,0,0,0,0,0,0,1387967.3806463,2034098.5786368186,3536.985559308327,836749.576983630220,2493703.710338267457,1039060.030144098941,655755.427491079732,10014.2276503364102100,65127.7214340000000000,32673.9980450000000000
2021-10-07T00:00:00+00:00,98161.01926620513,578402.6639504631,1845943.0928127654,10042.355087534748,0,0,0,0,0,1835780.9720557346,3824463.843414862,0,0,0,0,123575.055991829068,356990.7868526558870583,13583.5627820000000000,184512.88654100000000000000
2021-10-06T00:00:00+00:00,22797.811005643012,25518.1833686273,0,0,0,44631.3949190000000000,0,0,0,0,0,1759.655961038456,512602.944827271521,463144.9677308952816211,512977.521597360118,0,803.4563414903474048,3702.2718500000000000,37391.080384000000000000000000
2021-10-05T00:00:00+00:00,98579.27131173921,8917.019919596101,0,0,59924.158473466381,0,0,0,0,12525.911756009978,9408.715185088515,0,81402.8434929700690962,671822.357605908179,0,0,38194.5163939193644673,21903.7809990000000000,20477.63503900000000000000
2021-10-04T00:00:00+00:00,0,7976.782832869801,0,0,0,0,0,0,0,591100.8927254463,0,8115.419463762764,525911.1304974473931157,14974.311405682851,0,56.0651697201195069,47352.63872862055480352200,21076.4949770000000000,73074.9658610000000000
2021-10-03T00:00:00+00:00,0,0,398502.9027127665,9.543131224140298,0,0,0,0,0,292786.2820655274,0,1528.741604787861,309847.776582090521,510683.278675718069,566053.614775550262,0.00018722311910923500,18314.63121813308685978200,173675.12263800000000000000,39316.5185400000000000
2021-10-02T00:00:00+00:00,15194.730469383085,0,340237.3104653358,0,0,0,0,0,0,107517.38256303447,331.7090210856765,11664.133307291799,0,0,0,0,12387.0008272124370057,25870.0032080000000000,127400.1061910000000000
2021-10-01T00:00:00+00:00,0,3310.718834282,0,0,1.2068997029599768,0,0,0,0,87317.22462261774,0,6035.542960544253,0,3397511.986026307158,1538827.469738641965,1130274.953552854877,65535.2615435546063002,40927.9132240000000000,60102.6301750000000000
2021-09-30T00:00:00+00:00,67741.01479691744,266703.011888745,1114221.0452460852,292841.029680112,0,0,0,0,0,11117.62863284763,271.0555646401301,10806.525439319936,375661.867333178037,1452557.929780079056,0,1365047.459557195931,7393.06923377145349712600,267223.3164890000000000,37053.8998380000000000
2021-09-29T00:00:00+00:00,1364.7389200022383,3504.2486190976,567.9224287748001,0,0,0,0,0,0,7388.5717372766985,0,225.17467734813857,538674.281430843063,1215101.715526226656,624308.123248343421,0,13084.0159018809402007,53879.50372600000000000000,417814.5218120000000000
2021-09-28T00:00:00+00:00,0,752497.5671736073,149311.4720035824,0,0,0,0,0,0,17498.26052327091,0,0,0,793961.465189423491,28064.9246274665977047,0,4012.3659340412043297,9187.9344300000000000,14037.5022200000000000
